participantId,trial,stage,option1,option2,choice,planet,chosenEntity,attentionPassed
9794,17,3,communication,replication,communication,Pyrosa,R1-X,3
9794,18,1,replication,communication,communication,Zephyria,B,3
9794,18,2,reaction,learning,reaction,Zephyria,B1,3
9794,18,3,monitoring,movement,movement,Zephyria,B1-Y,3
9793,1,1,movement,learning,learning,Zephyronix,B,2
9793,1,2,monitoring,reaction,monitoring,Zephyronix,B1,2
9793,1,3,communication,replication,communication,Zephyronix,B1-X,2
9793,2,1,replication,communication,communication,Hyperioni,J,2
9793,2,2,reaction,learning,learning,Hyperioni,J2,2
9793,2,3,monitoring,movement,movement,Hyperioni,J2-Y,2
9793,3,1,replication,movement,movement,Valtorium,X,2
9793,3,2,monitoring,communication,monitoring,Valtorium,X1,2
9793,3,3,reaction,learning,learning,Valtorium,X1-Y,2
9793,4,1,monitoring,learning,learning,Solstara,U,2
9793,4,2,reaction,communication,communication,Solstara,U2,2
9793,4,3,movement,replication,movement,Solstara,U2-X,2
9793,6,1,communication,learning,learning,Veridian,X,2
9793,6,2,replication,movement,movement,Veridian,X2,2
9793,6,3,reaction,monitoring,monitoring,Veridian,X2-Y,2
9793,7,1,monitoring,replication,monitoring,Cygnarion,D,2
9793,7,2,learning,reaction,learning,Cygnarion,D1,2
9793,7,3,movement,communication,movement,Cygnarion,D1-X,2
9793,8,1,monitoring,communication,monitoring,Zephyria,A,2
9793,8,2,movement,replication,movement,Zephyria,A1,2
9793,8,3,learning,reaction,learning,Zephyria,A1-X,2
9793,9,1,reaction,learning,learning,Pyrosa,R,2
9793,9,2,communication,monitoring,monitoring,Pyrosa,R2,2
9793,9,3,movement,replication,movement,Pyrosa,R2-X,2
9793,11,1,learning,replication,learning,Cosmara,D,2
9793,11,2,movement,communication,movement,Cosmara,D1,2
9793,11,3,reaction,monitoring,monitoring,Cosmara,D1-Y,2
9793,12,1,monitoring,reaction,monitoring,Xandarion,Y,2
9793,12,2,replication,movement,movement,Xandarion,Y2,2
9793,12,3,communication,learning,learning,Xandarion,Y2-Y,2
9793,13,1,movement,reaction,movement,Galaxarix,H,2
9793,13,2,monitoring,learning,learning,Galaxarix,H2,2
9793,13,3,communication,replication,communication,Galaxarix,H2-X,2
9793,14,1,movement,monitoring,monitoring,Novaraxis,P,2
9793,14,2,replication,communication,communication,Novaraxis,P2,2
9793,14,3,learning,reaction,learning,Novaraxis,P2-X,2
9793,16,1,communication,reaction,communication,Novera,O,2
9793,16,2,replication,movement,movement,Novera,O2,2
9793,16,3,monitoring,learning,learning,Novera,O2-Y,2
9793,17,1,replication,reaction,reaction,Ignistel,K,2
9793,17,2,movement,communication,communication,Ignistel,K2,2
9793,17,3,learning,monitoring,learning,Ignistel,K2-X,2
9793,18,1,movement,communication,communication,Quasaris,S,2
9793,18,2,monitoring,replication,monitoring,Quasaris,S1,2
9793,18,3,learning,reaction,learning,Quasaris,S1-X,2
9791,1,1,communication,reaction,communication,Pyrosa,Q,3
9791,1,2,movement,replication,movement,Pyrosa,Q1,3
9791,1,3,learning,monitoring,learning,Pyrosa,Q1-X,3
9791,2,1,learning,monitoring,learning,Cygnarion,D,3
9791,2,2,reaction,communication,reaction,Cygnarion,D1,3
9791,2,3,movement,replication,replication,Cygnarion,D1-Y,3
9791,3,1,replication,communication,communication,Solstara,U,3
9791,3,2,movement,monitoring,monitoring,Solstara,U2,3
9791,3,3,learning,reaction,learning,Solstara,U2-X,3
9791,4,1,learning,replication,learning,Hyperioni,I,3
9791,4,2,reaction,monitoring,monitoring,Hyperioni,I2,3
9791,4,3,communication,movement,communication,Hyperioni,I2-X,3
9791,6,1,monitoring,replication,monitoring,Novera,O,3
9791,6,2,movement,communication,communication,Novera,O2,3
9791,6,3,learning,reaction,learning,Novera,O2-X,3
9791,7,1,communication,monitoring,communication,Valtorium,W,3
9791,7,2,reaction,learning,learning,Valtorium,W2,3
9791,7,3,replication,movement,movement,Valtorium,W2-Y,3
9791,8,1,monitoring,reaction,monitoring,Aurorion,B,3
9791,8,2,learning,communication,learning,Aurorion,B1,3
9791,8,3,movement,replication,replication,Aurorion,B1-Y,3
9791,9,1,learning,movement,learning,Xandarion,Y,3
9791,9,2,monitoring,reaction,monitoring,Xandarion,Y1,3
9791,9,3,replication,communication,communication,Xandarion,Y1-Y,3
9791,11,1,communication,movement,communication,Ignistel,J,3
9791,11,2,monitoring,replication,monitoring,Ignistel,J1,3
9791,11,3,reaction,learning,learning,Ignistel,J1-Y,3
9791,12,1,replication,movement,movement,Cosmara,E,3
9791,12,2,communication,monitoring,communication,Cosmara,E1,3
9791,12,3,reaction,learning,learning,Cosmara,E1-Y,3
9791,13,1,reaction,learning,learning,Veridian,X,3
9791,13,2,communication,monitoring,communication,Veridian,X1,3
9791,13,3,replication,movement,movement,Veridian,X1-Y,3
9791,14,1,replication,reaction,reaction,Zephyronix,B,3
9791,14,2,monitoring,learning,learning,Zephyronix,B2,3
9791,14,3,communication,movement,movement,Zephyronix,B2-Y,3
9791,16,1,movement,reaction,reaction,Quasaris,S,3
9791,16,2,replication,communication,communication,Quasaris,S2,3
9791,16,3,learning,monitoring,learning,Quasaris,S2-X,3
9791,17,1,communication,learning,learning,Galaxarix,I,3
9791,17,2,movement,replication,movement,Galaxarix,I1,3
9791,17,3,monitoring,reaction,monitoring,Galaxarix,I1-X,3
9791,18,1,monitoring,movement,monitoring,Quasarion,R,3
9791,18,2,communication,replication,communication,Quasarion,R1,3
9791,18,3,learning,reaction,learning,Quasarion,R1-X,3
9790,1,1,movement,communication,communication,Ignistel,K,3
9790,1,2,replication,monitoring,replication,Ignistel,K1,3
9790,1,3,reaction,learning,learning,Ignistel,K1-Y,3
9790,2,1,communication,reaction,communication,Galaxarix,H,3
9790,2,2,learning,monitoring,learning,Galaxarix,H1,3
9790,2,3,movement,replication,movement,Galaxarix,H1-X,3
9790,3,1,learning,movement,learning,Cygnarion,D,3
9790,3,2,communication,replication,communication,Cygnarion,D1,3
9790,3,3,reaction,monitoring,monitoring,Cygnarion,D1-Y,3
9790,4,1,replication,movement,replication,Quasaris,R,3
9790,4,2,communication,monitoring,communication,Quasaris,R1,3
9790,4,3,learning,reaction,reaction,Quasaris,R1-Y,3
9790,6,1,learning,monitoring,monitoring,Aurorion,C,3
9790,6,2,movement,replication,replication,Aurorion,C2,3
9790,6,3,reaction,communication,communication,Aurorion,C2-Y,3
9790,7,1,movement,monitoring,movement,Veridian,W,3
9790,7,2,replication,communication,communication,Veridian,W2,3
9790,7,3,learning,reaction,learning,Veridian,W2-X,3
9790,8,1,replication,communication,communication,Crysallithoria,E,3
9790,8,2,monitoring,movement,monitoring,Crysallithoria,E1,3
9790,8,3,learning,reaction,reaction,Crysallithoria,E1-Y,3
9790,9,1,reaction,replication,reaction,Xandarion,Y,3
9790,9,2,learning,monitoring,learning,Xandarion,Y1,3
9790,9,3,movement,communication,communication,Xandarion,Y1-Y,3
9790,11,1,monitoring,replication,monitoring,Quasarion,R,3
9790,11,2,communication,movement,communication,Quasarion,R1,3
9790,11,3,learning,reaction,learning,Quasarion,R1-X,3
9790,12,1,reaction,monitoring,reaction,Zephyronix,A,3
9790,12,2,communication,learning,communication,Zephyronix,A1,3
9790,12,3,movement,replication,movement,Zephyronix,A1-X,3
9790,13,1,communication,learning,communication,Pyrosa,Q,3
9790,13,2,reaction,monitoring,reaction,Pyrosa,Q1,3
9790,13,3,movement,replication,replication,Pyrosa,Q1-Y,3
9790,14,1,learning,reaction,learning,Novera,O,3
9790,14,2,replication,movement,movement,Novera,O2,3
9790,14,3,communication,monitoring,communication,Novera,O2-X,3
9790,16,1,communication,monitoring,communication,Valtorium,W,3
9790,16,2,movement,replication,replication,Valtorium,W2,3
9790,16,3,learning,reaction,reaction,Valtorium,W2-Y,3
9790,17,1,replication,learning,replication,Hyperioni,I,3
9790,17,2,reaction,monitoring,reaction,Hyperioni,I1,3
9790,17,3,movement,communication,communication,Hyperioni,I1-Y,3
9790,18,1,movement,reaction,movement,Novaraxis,O,3
9790,18,2,learning,monitoring,monitoring,Novaraxis,O2,3
9790,18,3,communication,replication,communication,Novaraxis,O2-X,3
9789,1,1,monitoring,reaction,monitoring,Aurorion,B,2
9789,1,2,movement,replication,movement,Aurorion,B1,2
9789,1,3,communication,learning,learning,Aurorion,B1-Y,2
9789,2,1,communication,reaction,communication,Hyperioni,I,2
9789,2,2,movement,replication,replication,Hyperioni,I2,2
9789,2,3,monitoring,learning,learning,Hyperioni,I2-Y,2
9789,3,1,replication,movement,replication,Ignistel,J,2
9789,3,2,learning,reaction,reaction,Ignistel,J2,2
9789,3,3,monitoring,communication,monitoring,Ignistel,J2-X,2
9789,4,1,movement,reaction,reaction,Quasarion,S,2
9789,4,2,learning,monitoring,monitoring,Quasarion,S2,2
9789,4,3,replication,communication,communication,Quasarion,S2-Y,2
9789,6,1,movement,communication,movement,Novera,O,2
9789,6,2,monitoring,replication,replication,Novera,O2,2
9789,6,3,reaction,learning,reaction,Novera,O2-X,2
9789,7,1,movement,monitoring,movement,Quasaris,R,2
9789,7,2,learning,reaction,learning,Quasaris,R1,2
9789,7,3,communication,replication,communication,Quasaris,R1-X,2
9789,8,1,movement,learning,learning,Xandarion,Z,2
9789,8,2,monitoring,reaction,monitoring,Xandarion,Z1,2
9789,8,3,communication,replication,replication,Xandarion,Z1-Y,2
9789,9,1,monitoring,replication,monitoring,Cygnarion,D,2
9789,9,2,movement,communication,movement,Cygnarion,D1,2
9789,9,3,learning,reaction,learning,Cygnarion,D1-X,2
9789,11,1,communication,learning,learning,Pyrosa,R,2
9789,11,2,movement,replication,replication,Pyrosa,R2,2
9789,11,3,monitoring,reaction,reaction,Pyrosa,R2-Y,2
9789,12,1,monitoring,learning,learning,Crysallithoria,E,2
9789,12,2,reaction,communication,communication,Crysallithoria,E2,2
9789,12,3,movement,replication,movement,Crysallithoria,E2-X,2
9789,13,1,learning,replication,learning,Zephyria,A,2
9789,13,2,movement,communication,communication,Zephyria,A2,2
9789,13,3,reaction,monitoring,monitoring,Zephyria,A2-Y,2
9789,14,1,communication,monitoring,communication,Novaraxis,O,2
9789,14,2,learning,reaction,reaction,Novaraxis,O2,2
9789,14,3,replication,movement,movement,Novaraxis,O2-Y,2
9789,16,1,reaction,learning,reaction,Zephyronix,A,2
9789,16,2,replication,movement,replication,Zephyronix,A1,2
9789,16,3,communication,monitoring,communication,Zephyronix,A1-X,2
9789,17,1,reaction,replication,replication,Valtorium,X,2
9789,17,2,monitoring,learning,learning,Valtorium,X2,2
9789,17,3,communication,movement,communication,Valtorium,X2-X,2
9789,18,1,communication,replication,replication,Cosmara,E,2
9789,18,2,monitoring,movement,monitoring,Cosmara,E1,2
9789,18,3,reaction,learning,reaction,Cosmara,E1-X,2
9787,1,1,movement,learning,learning,Novaraxis,P,3
9787,1,2,communication,replication,communication,Novaraxis,P1,3
9787,1,3,reaction,monitoring,reaction,Novaraxis,P1-X,3
9787,2,1,reaction,monitoring,reaction,Crysallithoria,D,3
9787,2,2,replication,movement,movement,Crysallithoria,D2,3
9787,2,3,learning,communication,communication,Crysallithoria,D2-Y,3
9787,3,1,movement,reaction,reaction,Quasaris,S,3
9787,3,2,monitoring,learning,learning,Quasaris,S2,3
9787,3,3,replication,communication,communication,Quasaris,S2-Y,3
9787,4,1,movement,replication,replication,Solstara,U,3
9787,4,2,reaction,learning,learning,Solstara,U2,3
9787,4,3,monitoring,communication,communication,Solstara,U2-Y,3
9787,6,1,replication,reaction,replication,Galaxarix,H,3
9787,6,2,monitoring,learning,learning,Galaxarix,H2,3
9787,6,3,communication,movement,communication,Galaxarix,H2-X,3
9787,7,1,reaction,communication,communication,Veridian,X,3
9787,7,2,replication,movement,replication,Veridian,X1,3
9787,7,3,monitoring,learning,learning,Veridian,X1-Y,3
9787,8,1,learning,communication,learning,Novera,O,3
9787,8,2,monitoring,reaction,reaction,Novera,O2,3
9787,8,3,replication,movement,replication,Novera,O2-X,3
9787,9,1,learning,replication,learning,Zephyronix,A,3
9787,9,2,monitoring,reaction,reaction,Zephyronix,A2,3
9787,9,3,communication,movement,communication,Zephyronix,A2-X,3
9787,11,1,reaction,learning,learning,Quasarion,S,3
9787,11,2,monitoring,communication,communication,Quasarion,S2,3
9787,11,3,movement,replication,replication,Quasarion,S2-Y,3
9787,12,1,monitoring,movement,movement,Pyrosa,R,3
9787,12,2,communication,replication,communication,Pyrosa,R1,3
9787,12,3,learning,reaction,reaction,Pyrosa,R1-Y,3
9787,13,1,monitoring,learning,learning,Cosmara,E,3
9787,13,2,reaction,communication,communication,Cosmara,E2,3
9787,13,3,replication,movement,movement,Cosmara,E2-Y,3
9787,14,1,replication,communication,communication,Aurorion,C,3
9787,14,2,reaction,learning,learning,Aurorion,C2,3
9787,14,3,monitoring,movement,monitoring,Aurorion,C2-X,3
9787,16,1,monitoring,communication,communication,Ignistel,K,3
9787,16,2,reaction,learning,learning,Ignistel,K2,3
9787,16,3,movement,replication,movement,Ignistel,K2-X,3
9787,17,1,communication,movement,movement,Xandarion,Z,3
9787,17,2,monitoring,replication,monitoring,Xandarion,Z1,3
9787,17,3,learning,reaction,learning,Xandarion,Z1-X,3
9787,18,1,monitoring,replication,monitoring,Cygnarion,D,3
9787,18,2,communication,movement,communication,Cygnarion,D1,3
9787,18,3,reaction,learning,learning,Cygnarion,D1-Y,3
9786,1,1,learning,communication,learning,Cosmara,D,3
9786,1,2,movement,replication,movement,Cosmara,D1,3
9786,1,3,monitoring,reaction,monitoring,Cosmara,D1-X,3
9786,2,1,learning,movement,learning,Crysallithoria,D,3
9786,2,2,replication,communication,communication,Crysallithoria,D2,3
9786,2,3,reaction,monitoring,monitoring,Crysallithoria,D2-Y,3
9786,3,1,monitoring,learning,learning,Quasaris,S,3
9786,3,2,reaction,communication,communication,Quasaris,S2,3
9786,3,3,replication,movement,movement,Quasaris,S2-Y,3
9786,4,1,communication,reaction,communication,Zephyria,A,3
9786,4,2,learning,monitoring,learning,Zephyria,A1,3
9786,4,3,replication,movement,movement,Zephyria,A1-Y,3
9786,6,1,replication,learning,learning,Ignistel,K,3
9786,6,2,monitoring,reaction,monitoring,Ignistel,K1,3
9786,6,3,movement,communication,communication,Ignistel,K1-Y,3
9786,7,1,communication,replication,communication,Pyrosa,Q,3
9786,7,2,reaction,learning,learning,Pyrosa,Q2,3
9786,7,3,monitoring,movement,monitoring,Pyrosa,Q2-X,3
9786,8,1,movement,replication,movement,Novera,O,3
9786,8,2,reaction,learning,learning,Novera,O2,3
9786,8,3,communication,monitoring,monitoring,Novera,O2-Y,3
9786,9,1,reaction,movement,reaction,Zephyronix,A,3
9786,9,2,communication,replication,communication,Zephyronix,A1,3
9786,9,3,monitoring,learning,learning,Zephyronix,A1-Y,3
9786,11,1,movement,monitoring,monitoring,Veridian,X,3
9786,11,2,learning,reaction,learning,Veridian,X1,3
9786,11,3,communication,replication,communication,Veridian,X1-X,3
9786,12,1,reaction,monitoring,monitoring,Cygnarion,E,3
9786,12,2,communication,learning,learning,Cygnarion,E2,3
9786,12,3,movement,replication,movement,Cygnarion,E2-X,3
9786,13,1,reaction,replication,reaction,Novaraxis,O,3
9786,13,2,movement,communication,communication,Novaraxis,O2,3
9786,13,3,monitoring,learning,learning,Novaraxis,O2-Y,3
9786,14,1,monitoring,communication,monitoring,Aurorion,B,3
9786,14,2,movement,replication,movement,Aurorion,B1,3
9786,14,3,reaction,learning,reaction,Aurorion,B1-X,3
9786,16,1,replication,monitoring,replication,Hyperioni,I,3
9786,16,2,reaction,learning,learning,Hyperioni,I2,3
9786,16,3,movement,communication,communication,Hyperioni,I2-Y,3
9786,17,1,communication,movement,movement,Quasarion,S,3
9786,17,2,replication,monitoring,monitoring,Quasarion,S2,3
9786,17,3,reaction,learning,learning,Quasarion,S2-Y,3
9786,18,1,reaction,learning,reaction,Xandarion,Y,3
9786,18,2,monitoring,communication,communication,Xandarion,Y2,3
9786,18,3,movement,replication,replication,Xandarion,Y2-Y,3
9785,1,1,reaction,learning,learning,Cygnarion,E,3
9785,1,2,monitoring,communication,communication,Cygnarion,E2,3
9785,1,3,replication,movement,replication,Cygnarion,E2-X,3
9785,2,1,communication,reaction,communication,Novaraxis,O,3
9785,2,2,replication,movement,replication,Novaraxis,O1,3
9785,2,3,monitoring,learning,learning,Novaraxis,O1-Y,3
9785,3,1,monitoring,communication,communication,Veridian,X,3
9785,3,2,reaction,learning,learning,Veridian,X2,3
9785,3,3,movement,replication,replication,Veridian,X2-Y,3
9785,4,1,monitoring,learning,learning,Zephyria,B,3
9785,4,2,replication,movement,replication,Zephyria,B1,3
9785,4,3,communication,reaction,communication,Zephyria,B1-X,3
9785,6,1,replication,communication,communication,Solstara,U,3
9785,6,2,movement,monitoring,movement,Solstara,U1,3
9785,6,3,reaction,learning,learning,Solstara,U1-Y,3
9785,7,1,reaction,monitoring,reaction,Novera,O,3
9785,7,2,movement,replication,replication,Novera,O2,3
9785,7,3,communication,learning,learning,Novera,O2-Y,3
9785,8,1,monitoring,replication,replication,Quasaris,S,3
9785,8,2,learning,reaction,learning,Quasaris,S1,3
9785,8,3,communication,movement,communication,Quasaris,S1-X,3
9785,9,1,learning,communication,learning,Galaxarix,H,3
9785,9,2,movement,replication,replication,Galaxarix,H2,3
9785,9,3,reaction,monitoring,monitoring,Galaxarix,H2-Y,3
9785,11,1,replication,movement,replication,Pyrosa,Q,3
9785,11,2,learning,reaction,learning,Pyrosa,Q1,3
9785,11,3,monitoring,communication,communication,Pyrosa,Q1-Y,3
9785,12,1,reaction,replication,replication,Crysallithoria,E,3
9785,12,2,communication,movement,communication,Crysallithoria,E1,3
9785,12,3,monitoring,learning,learning,Crysallithoria,E1-Y,3
9785,13,1,movement,monitoring,movement,Ignistel,J,3
9785,13,2,learning,reaction,learning,Ignistel,J1,3
9785,13,3,replication,communication,communication,Ignistel,J1-Y,3
9785,14,1,movement,communication,communication,Aurorion,C,3
9785,14,2,replication,monitoring,replication,Aurorion,C1,3
9785,14,3,learning,reaction,learning,Aurorion,C1-X,3
9785,16,1,learning,movement,learning,Quasarion,R,3
9785,16,2,monitoring,reaction,reaction,Quasarion,R2,3
9785,16,3,communication,replication,communication,Quasarion,R2-X,3
9785,17,1,replication,learning,learning,Valtorium,X,3
9785,17,2,communication,movement,communication,Valtorium,X1,3
9785,17,3,monitoring,reaction,reaction,Valtorium,X1-Y,3
9785,18,1,movement,reaction,reaction,Xandarion,Z,3
9785,18,2,communication,replication,communication,Xandarion,Z1,3
9785,18,3,learning,monitoring,learning,Xandarion,Z1-X,3
9784,1,1,monitoring,movement,movement,Pyrosa,R,1
9784,1,2,reaction,learning,reaction,Pyrosa,R1,1
9784,1,3,communication,replication,communication,Pyrosa,R1-X,1
9784,2,1,communication,movement,movement,Quasaris,S,1
9784,2,2,learning,reaction,learning,Quasaris,S1,1
9784,2,3,monitoring,replication,replication,Quasaris,S1-Y,1
9784,3,1,replication,monitoring,replication,Solstara,T,1
9784,3,2,reaction,learning,reaction,Solstara,T1,1
9784,3,3,communication,movement,communication,Solstara,T1-X,1
9784,4,1,learning,movement,learning,Novaraxis,O,1
9784,4,2,reaction,monitoring,reaction,Novaraxis,O1,1
9784,4,3,communication,replication,communication,Novaraxis,O1-X,1
9784,6,1,replication,communication,communication,Xandarion,Z,1
9784,6,2,reaction,learning,learning,Xandarion,Z2,1
9784,6,3,monitoring,movement,movement,Xandarion,Z2-Y,1
9784,7,1,learning,reaction,learning,Zephyria,A,1
9784,7,2,communication,monitoring,monitoring,Zephyria,A2,1
9784,7,3,movement,replication,movement,Zephyria,A2-X,1
9784,8,1,movement,replication,replication,Novera,P,1
9784,8,2,reaction,learning,learning,Novera,P2,1
9784,8,3,communication,monitoring,monitoring,Novera,P2-Y,1
9784,9,1,learning,monitoring,learning,Cygnarion,D,1
9784,9,2,movement,replication,replication,Cygnarion,D2,1
9784,9,3,communication,reaction,reaction,Cygnarion,D2-Y,1
9784,11,1,monitoring,reaction,monitoring,Valtorium,W,1
9784,11,2,communication,learning,communication,Valtorium,W1,1
9784,11,3,replication,movement,movement,Valtorium,W1-Y,1
9784,12,1,monitoring,communication,communication,Zephyronix,B,1
9784,12,2,learning,reaction,reaction,Zephyronix,B2,1
9784,12,3,replication,movement,movement,Zephyronix,B2-Y,1
9784,13,1,reaction,replication,reaction,Veridian,W,1
9784,13,2,movement,communication,movement,Veridian,W1,1
9784,13,3,monitoring,learning,monitoring,Veridian,W1-X,1
9784,14,1,movement,reaction,reaction,Aurorion,C,1
9784,14,2,communication,replication,replication,Aurorion,C2,1
9784,14,3,learning,monitoring,monitoring,Aurorion,C2-Y,1
9784,16,1,communication,learning,learning,Hyperioni,J,1
9784,16,2,movement,replication,movement,Hyperioni,J1,1
9784,16,3,monitoring,reaction,reaction,Hyperioni,J1-Y,1
9784,17,1,communication,reaction,communication,Galaxarix,H,1
9784,17,2,learning,monitoring,learning,Galaxarix,H1,1
9784,17,3,replication,movement,replication,Galaxarix,H1-X,1
9784,18,1,replication,learning,learning,Ignistel,K,1
9784,18,2,movement,communication,communication,Ignistel,K2,1
9784,18,3,reaction,monitoring,reaction,Ignistel,K2-X,1
9779,1,1,movement,communication,communication,Zephyria,B,3
9779,1,2,replication,monitoring,monitoring,Zephyria,B2,3
9779,1,3,reaction,learning,learning,Zephyria,B2-Y,3
9779,2,1,learning,reaction,learning,Xandarion,Y,3
9779,2,2,movement,replication,movement,Xandarion,Y1,3
9779,2,3,communication,monitoring,communication,Xandarion,Y1-X,3
9779,3,1,monitoring,learning,learning,Cygnarion,E,3
9779,3,2,replication,movement,movement,Cygnarion,E2,3
9779,3,3,communication,reaction,communication,Cygnarion,E2-X,3
9779,4,1,reaction,replication,reaction,Quasarion,R,3
9779,4,2,movement,communication,communication,Quasarion,R2,3
9779,4,3,learning,monitoring,learning,Quasarion,R2-X,3
9779,6,1,movement,replication,movement,Zephyronix,A,3
9779,6,2,learning,reaction,learning,Zephyronix,A1,3
9779,6,3,communication,monitoring,communication,Zephyronix,A1-X,3
9779,7,1,monitoring,communication,communication,Novera,P,3
9779,7,2,movement,replication,movement,Novera,P1,3
9779,7,3,reaction,learning,learning,Novera,P1-Y,3
9779,8,1,monitoring,reaction,monitoring,Veridian,W,3
9779,8,2,communication,learning,learning,Veridian,W2,3
9779,8,3,replication,movement,movement,Veridian,W2-Y,3
9779,9,1,replication,communication,communication,Galaxarix,I,3
9779,9,2,movement,monitoring,monitoring,Galaxarix,I2,3
9779,9,3,reaction,learning,learning,Galaxarix,I2-Y,3
9779,11,1,reaction,movement,reaction,Pyrosa,Q,3
9779,11,2,monitoring,learning,learning,Pyrosa,Q2,3
9779,11,3,replication,communication,communication,Pyrosa,Q2-Y,3
9779,12,1,movement,learning,learning,Crysallithoria,E,3
9779,12,2,replication,communication,communication,Crysallithoria,E2,3
9779,12,3,reaction,monitoring,monitoring,Crysallithoria,E2-Y,3
9779,13,1,learning,communication,learning,Cosmara,D,3
9779,13,2,monitoring,reaction,monitoring,Cosmara,D1,3
9779,13,3,movement,replication,movement,Cosmara,D1-X,3
9779,14,1,replication,learning,learning,Aurorion,C,3
9779,14,2,movement,communication,communication,Aurorion,C2,3
9779,14,3,reaction,monitoring,monitoring,Aurorion,C2-Y,3
9779,16,1,monitoring,replication,monitoring,Hyperioni,I,3
9779,16,2,communication,movement,communication,Hyperioni,I1,3
9779,16,3,learning,reaction,learning,Hyperioni,I1-X,3
9779,17,1,reaction,communication,communication,Valtorium,X,3
9779,17,2,movement,replication,movement,Valtorium,X1,3
9779,17,3,monitoring,learning,learning,Valtorium,X1-Y,3
9779,18,1,monitoring,movement,monitoring,Novaraxis,O,3
9779,18,2,communication,replication,communication,Novaraxis,O1,3
9779,18,3,reaction,learning,learning,Novaraxis,O1-Y,3
